https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,申請区分,,,施設名,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請者3,申請-住所1,申請-マンション名,申請-電話番号1,,,業種,,,確認番号,,,開業年月日,申請年月日,,許可年月日,許可期間終了日,,,,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法人,新規,2538,株式会社,鱈田屋菓子店　第二工場,新潟県,三条市南四日町１丁目１３番３１号,,0256-35-4068,,株式会社　鱈田屋菓子店,代表取締役　芳賀　誠一,三条市南四日町１丁目９番１８号,,0256-32-6381,,,① 飲食店営業,,,4 - 260,0,0,2022年02月11日,2022年02月10日,2022年02月10日,2022年02月11日,2027年05月31日,,,,,,154,鱈田屋菓子店　第二工場,0256,0256-35-4068,,,,新潟県　三条市南四日町１丁目１３番３１号,新潟県三条市南四日町１丁目１３番３１号,,86116,15,15204,南四日町１,2022/02/10,2022/02/11,2022/02/11,,2027/05/31,株式会社　鱈田屋菓子店, 代表取締役　芳賀　誠一,0256-32-6381,三条市南四日町１丁目９番１８号,新潟県三条市南四日町１丁目９番１８号,,86116,新潟県,三条市,南四日町１,4 - 260,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,鱈田屋菓子店第二工場0256-35-40688611615204,0d416fa5-f9a0-42a0-8945-2df4417baf76,株式会社鱈田屋菓子店86116,46a40312-50e6-4bf7-94a6-e4173bbd5f74,12a2aa36-bc65-4deb-a8d4-35fb8ed993d7,2022/02/11,鱈田屋菓子店　第二工場,鱈田屋菓子店第二工場,株式会社鱈田屋菓子店
法人,新規,3370,株式会社,ホテル小柳　クロワッサン・ド・パリ,新潟県,南蒲原郡　田上町大字田上１３２２番地１,,0256-57-5000,,株式会社　ホテル小柳,代表取締役　野澤　隆義,南蒲原郡　田上町大字田上乙１３２２番地１,,0256-57-5000,,,⑪ 菓子製造業,,,4 - 242,0,0,2022年02月19日,2022年01月27日,2022年02月18日,2022年02月19日,2027年03月31日,,,,,,154,ホテル小柳　クロワッサン・ド・パリ,0256,0256-57-5000,,,,新潟県　南蒲原郡　田上町大字田上１３２２番地１,新潟県南蒲原郡田上町田上１３２２番地１,,90352,15,15361,田上,2022/01/27,2022/02/19,2022/02/19,,2027/03/31,株式会社　ホテル小柳, 代表取締役　野澤　隆義,0256-57-5000,南蒲原郡　田上町大字田上乙１３２２番地１,新潟県南蒲原郡田上町田上乙１３２２番地１,,90352,新潟県,南蒲原郡田上町,田上,4 - 242,新規,菓子製造業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,E,9,,,ホテル小柳クロワッサンドパリ0256-57-50009035215361,aa35dc7f-3688-4600-99d9-df3c5f689fe9,株式会社ホテル小柳90352,1f1412ae-50b4-438f-9533-4ff2c4acb42d,8eacd7af-dc5f-4d0c-80e6-3bf57bc510a3,2022/02/19,ホテル小柳　クロワッサン・ド・パリ,ホテル小柳クロワッサンドパリ,株式会社ホテル小柳
法人,新規,3380,株式会社,末廣館,新潟県,南蒲原郡　田上町大字田上乙５３５番地３,,0256-57-4747,,株式会社　末広館,代表取締役　細井　広行,南蒲原郡田上町大字田上乙５３５番地３,,0256-57-4747,,,① 飲食店営業,,,4 - 253,0,0,2022年02月19日,2022年01月27日,2022年02月18日,2022年02月19日,2027年03月31日,,,,,,154,末廣館,0256,0256-57-4747,,,,新潟県　南蒲原郡　田上町大字田上乙５３５番地３,新潟県南蒲原郡田上町田上乙５３５番地３,,90352,15,15361,田上,2022/01/27,2022/02/19,2022/02/19,,2027/03/31,株式会社　末広館, 代表取締役　細井　広行,0256-57-4747,南蒲原郡田上町大字田上乙５３５番地３,新潟県南蒲原郡田上町田上乙５３５番地３,,90352,新潟県,南蒲原郡田上町,田上,4 - 253,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,末廣館0256-57-47479035215361,d4df27e0-d266-40bf-96a1-04ce990bcc1c,株式会社末広館90352,814e8252-9a92-4b59-855a-4cd52b22a697,ecabfac7-43a9-4763-81c1-c37d09180b6c,2022/02/19,末廣館,末廣館,株式会社末広館
法人,新規,10089,メモリーナ田上,にすけ会館,新潟県,南蒲原郡　田上町大字川船河字白倉甲１５９１－４,,0256-52-8826,,有限会社　花屋仁助,代表取締役　石附　大昌,加茂市穀町９－１２,,0256-52-0818,,,① 飲食店営業,,,4 - 246,0,0,2022年02月19日,2022年01月27日,2022年02月18日,2022年02月19日,2027年03月31日,,,,,,154,にすけ会館,0256,0256-52-8826,,,,新潟県　南蒲原郡　田上町大字川船河字白倉甲１５９１－４,新潟県南蒲原郡田上町川船河字白倉甲１５９１－４,,90348,15,15361,川船河,2022/01/27,2022/02/19,2022/02/19,,2027/03/31,有限会社　花屋仁助, 代表取締役　石附　大昌,0256-52-0818,加茂市穀町９－１２,新潟県加茂市穀町９－１２,,86953,新潟県,加茂市,穀町,4 - 246,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,にすけ会館0256-52-88269034815361,43154539-8fe9-4bb4-967f-78ee9311c5b4,有限会社花屋仁助86953,8a896d58-1637-4990-a719-f907339113d3,5c33f496-3388-4cb6-b5b9-d5ecebf976b0,2022/02/19,にすけ会館,にすけ会館,有限会社花屋仁助
法人,新規,22979,,田上駅売店,新潟県,南蒲原郡　田上町大字田上字横山２５０６－４,,,,,田上町長　佐野　恒雄,南蒲原郡　田上町大字原ヶ崎新田３０７０番地,,0256-57-6225,,,① 飲食店営業,,,4 - 256,0,0,2022年02月19日,2022年02月03日,2022年02月18日,2022年02月19日,2027年03月31日,,,,,,154,田上駅売店,0256,,,,,新潟県　南蒲原郡　田上町大字田上字横山２５０６－４,新潟県南蒲原郡田上町田上字横山２５０６－４,,90352,15,15361,田上,2022/02/03,2022/02/19,2022/02/19,,2027/03/31,田上町,町長　佐野　恒雄,0256-57-6225,南蒲原郡　田上町大字原ヶ崎新田３０７０番地,新潟県南蒲原郡田上町原が崎新田３０７０番地,,90354,新潟県,南蒲原郡田上町,原が崎新田,4 - 256,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,田上駅売店9035215361,48e12427-15ea-4dee-8c98-968c990c7525,田上町90354,12ed3dd7-843d-45f1-80e2-fdbfd024d08b,bfbd20e6-3ca7-4271-aef6-181ce0db4802,2022/02/19,田上駅売店,田上駅売店,田上町
法人,新規,23235,,タセトアート新光町,新潟県,三条市新光町２９－５４,,0256-32-3676,,石本商事株式会社,代表取締役　平澤　和也,新潟県新潟市中央区上近江３丁目１９番２２号,,025-285-6221,,,① 飲食店営業,,,4 - 291,0,0,2022年02月26日,2022年02月18日,2022年02月25日,2022年02月26日,2027年05月31日,,,,,,154,タセトアート新光町,0256,0256-32-3676,,,,新潟県　三条市新光町２９－５４,新潟県三条市新光町２９－５４,,86142,15,15204,新光町,2022/02/18,2022/02/26,2022/02/26,,2027/05/31,石本商事株式会社, 代表取締役　平澤　和也,025-285-6221,新潟県新潟市中央区上近江３丁目１９番２２号,新潟県新潟市中央区上近江３丁目１９番２２号,,83633,新潟県,新潟市中央区,上近江３,4 - 291,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,タセトアト新光町0256-32-36768614215204,bd391321-5070-4119-849b-442da0b7bd9a,石本商事株式会社83633,bc0a0934-d88b-4bb7-8176-fe7bd00fe79c,53e17097-de6a-4e52-8792-25ec85a30686,2022/02/26,タセトアート新光町,タセトアト新光町,石本商事株式会社
法人,新規,23282,株式会社,ホテル　小柳,新潟県,南蒲原郡　田上町大字田上乙1322番地1,,0256-57-5000,,株式会社　ホテル　小柳,代表取締役　野澤　隆義,南蒲原郡　田上町大字田上乙1322番地1,,0256-57-5000,,,㉕ そうざい製造業,,,2 - 162,0,0,2022年02月25日,2022年02月22日,2022年02月24日,2022年02月25日,2027年03月31日,,,,,,154,ホテル　小柳,0256,0256-57-5000,,,,新潟県　南蒲原郡　田上町大字田上乙1322番地1,新潟県南蒲原郡田上町田上乙１３２２番地１,,90352,15,15361,田上,2022/02/22,2022/02/25,2022/02/25,,2027/03/31,株式会社　ホテル　小柳, 代表取締役　野澤　隆義,0256-57-5000,南蒲原郡　田上町大字田上乙1322番地1,新潟県南蒲原郡田上町田上乙１３２２番地１,,90352,新潟県,南蒲原郡田上町,田上,2 - 162,新規,そうざい製造業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,E,9,,,ホテル小柳0256-57-50009035215361,cb0554dd-ce02-4889-afc2-84afa6bd7efa,株式会社ホテル　小柳90352,1f1412ae-50b4-438f-9533-4ff2c4acb42d,df4ac85f-4785-4137-8ef9-8351a5ddfb13,2022/02/25,ホテル　小柳,ホテル小柳,株式会社ホテル　小柳
法人,新規,23787,,ニューライフ２１,新潟県,南蒲原郡　田上町大字原ヶ崎新田字館内４９２番地１,,0256-57-2900,,合同会社　ニューライフ２１,代表社員　小林　フミ,南蒲原郡　田上町大字原ヶ崎新田１８２５番地１,,090-2169-1483,,,㉙ 漬物製造業,,,4 - 236,0,0,2022年02月04日,2022年01月27日,2022年02月03日,2022年02月04日,2030年03月31日,,,,,,154,ニューライフ２１,0256,0256-57-2900,,,,新潟県　南蒲原郡　田上町大字原ヶ崎新田字館内４９２番地１,新潟県南蒲原郡田上町原が崎新田字館内４９２番地１,,90354,15,15361,原が崎新田,2022/01/27,2022/02/04,2022/02/04,,2030/03/31,合同会社　ニューライフ２１, 代表社員　小林　フミ,090-2169-1483,南蒲原郡　田上町大字原ヶ崎新田１８２５番地１,新潟県南蒲原郡田上町原が崎新田１８２５番地１,,90354,新潟県,南蒲原郡田上町,原が崎新田,4 - 236,新規,漬物製造業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,E,9,,,ニュライフ２１0256-57-29009035415361,ee5ab4d4-3f3b-4272-9fc9-9a0e3ea57e0d,合同会社ニューライフ２１90354,9d9ce653-319c-41bc-8db2-82e9bd5fa900,708ea001-a0df-4469-84ac-2e6ef225cb67,2022/02/04,ニューライフ２１,ニュライフ２１,合同会社ニューライフ２１
法人,新規,23787,,ニューライフ２１,新潟県,南蒲原郡　田上町大字原ヶ崎新田字館内４９２番地１,,0256-57-2900,,合同会社　ニューライフ２１,代表社員　小林　フミ,南蒲原郡　田上町大字原ヶ崎新田１８２５番地１,,090-2169-1483,,,⑪ 菓子製造業,,,4 - 236,0,0,2022年02月04日,2022年01月27日,2022年02月03日,2022年02月04日,2030年03月31日,,,,,,154,ニューライフ２１,0256,0256-57-2900,,,,新潟県　南蒲原郡　田上町大字原ヶ崎新田字館内４９２番地１,新潟県南蒲原郡田上町原が崎新田字館内４９２番地１,,90354,15,15361,原が崎新田,2022/01/27,2022/02/04,2022/02/04,,2030/03/31,合同会社　ニューライフ２１, 代表社員　小林　フミ,090-2169-1483,南蒲原郡　田上町大字原ヶ崎新田１８２５番地１,新潟県南蒲原郡田上町原が崎新田１８２５番地１,,90354,新潟県,南蒲原郡田上町,原が崎新田,4 - 236,新規,菓子製造業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,E,9,,,ニュライフ２１0256-57-29009035415361,ee5ab4d4-3f3b-4272-9fc9-9a0e3ea57e0d,合同会社ニューライフ２１90354,9d9ce653-319c-41bc-8db2-82e9bd5fa900,226f6160-3af2-4a1e-ba4b-b073698ee14c,2022/02/04,ニューライフ２１,ニュライフ２１,合同会社ニューライフ２１
法人,新規,23936,菓子工房,クリュ,新潟県,三条市月岡１丁目６番１６号,,0256-32-1744,,有限会社　栗林菓子店,代表取締役　栗林　幸史,三条市西本成寺２丁目５番１号,,0256-32-0502,,,① 飲食店営業,,,4 - 261,0,0,2022年02月11日,2022年02月10日,2022年02月10日,2022年02月11日,2027年05月31日,,,,,,154,クリュ,0256,0256-32-1744,,,,新潟県　三条市月岡１丁目６番１６号,新潟県三条市月岡１丁目６番１６号,,86068,15,15204,月岡１,2022/02/10,2022/02/11,2022/02/11,,2027/05/31,有限会社　栗林菓子店, 代表取締役　栗林　幸史,0256-32-0502,三条市西本成寺２丁目５番１号,新潟県三条市西本成寺２丁目５番１号,,86092,新潟県,三条市,西本成寺２,4 - 261,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,クリュ0256-32-17448606815204,4b74fb2f-6bc5-4f8d-b482-a30ac9ab954c,有限会社栗林菓子店86092,06970619-ab35-493e-8975-56fd49525a9f,0c65ef3f-826d-4dab-8495-b32194d6ecd5,2022/02/11,クリュ,クリュ,有限会社栗林菓子店
法人,新規,24032,,住宅型有料老人ホーム　ナーシングホーム三条,新潟県,三条市今井野新田962-3,,0256-36-9300,,日清医療食品株式会社,代表取締役社長　菅井　正一,東京都千代田区丸の内２丁目７番３号,東京ビルディング２０Ｆ,03-3287-3611,,,① 飲食店営業,,,4 - 306,0,0,2022年02月26日,2022年02月24日,2022年02月25日,2022年02月26日,2027年02月28日,,,,,,154,住宅型有料老人ホーム　ナーシングホーム三条,0256,0256-36-9300,,,,新潟県　三条市今井野新田962-3,新潟県三条市今井野新田９６２－３,,86165,15,15204,今井野新田,2022/02/24,2022/02/26,2022/02/26,,2027/02/28,日清医療食品株式会社, 代表取締役社長　菅井　正一,03-3287-3611,東京都千代田区丸の内２丁目７番３号,東京都千代田区丸ノ内２丁目７番３号,東京ビルディング２０Ｆ,72931,東京都,千代田区,丸の内２,4 - 306,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,住宅型有料老人ホムナシングホム三条0256-36-93008616515204,e26b53ce-50fe-4fa4-9ead-f2afede84cfd,日清医療食品株式会社72931,caed14bb-a0f4-4953-b6b1-63211d3b8f27,03864ba0-7dea-42ab-b300-3d3f8282e8c8,2022/02/26,住宅型有料老人ホーム　ナーシングホーム三条,住宅型有料老人ホムナシングホム三条,日清医療食品株式会社
法人,新規,24052,,地域密着型特別養護老人ホーム　第二さかえの里,新潟県,三条市福島新田丙４８０番地,,0256-45-6458,,石本商事株式会社,代表取締役　平澤　和也,新潟市中央区上近江３丁目１９番２２号,,025-285-6221,,,① 飲食店営業,,,4 - 254,0,0,2022年02月10日,2022年02月01日,2022年02月09日,2022年02月10日,2027年02月28日,,,,,,154,地域密着型特別養護老人ホーム　第二さかえの里,0256,0256-45-6458,,,,新潟県　三条市福島新田丙４８０番地,新潟県三条市福島新田丙４８０番地,,86241,15,15204,福島新田,2022/02/01,2022/02/10,2022/02/10,,2027/02/28,石本商事株式会社, 代表取締役　平澤　和也,025-285-6221,新潟市中央区上近江３丁目１９番２２号,新潟県新潟市中央区上近江３丁目１９番２２号,,83633,新潟県,新潟市中央区,上近江３,4 - 254,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,地域密着型特別養護老人ホム第二さかえの里0256-45-64588624115204,6fe2a3eb-a70a-4af4-a237-5c7fbacbb605,石本商事株式会社83633,bc0a0934-d88b-4bb7-8176-fe7bd00fe79c,dfbf474c-1d49-4e53-89e2-596b06b8e641,2022/02/10,地域密着型特別養護老人ホーム　第二さかえの里,地域密着型特別養護老人ホム第二さかえの里,石本商事株式会社
法人,新規,24181,,㈲モリデザインワークス内　創生水ショップ,新潟県,南蒲原郡　田上町大字川船河甲１３６０－５,,0256-53-0953,,有限会社　モリデザインワークス,代表取締役　森山　一理,加茂市都ケ丘１番２８号,,0256-53-1785,,,① 飲食店営業,,,4 - 244,0,0,2022年02月19日,2022年01月27日,2022年02月18日,2022年02月19日,2027年03月31日,,,,,,154,㈲モリデザインワークス内　創生水ショップ,0256,0256-53-0953,,,,新潟県　南蒲原郡　田上町大字川船河甲１３６０－５,新潟県南蒲原郡田上町川船河甲１３６０－５,,90348,15,15361,川船河,2022/01/27,2022/02/19,2022/02/19,,2027/03/31,有限会社　モリデザインワークス, 代表取締役　森山　一理,0256-53-1785,加茂市都ケ丘１番２８号,新潟県加茂市都が丘１番２８号,,86937,新潟県,加茂市,都が丘,4 - 244,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,有限会社モリデザインワクス内創生水ショップ0256-53-09539034815361,b10b661e-dae0-4def-a77b-25524d5be035,有限会社モリデザインワークス86937,5341b2d1-709a-4570-b511-23bd3fa870e0,6250fc34-e429-4930-9569-b15e26634532,2022/02/19,有限会社モリデザインワークス内　創生水ショップ,有限会社モリデザインワクス内創生水ショップ,有限会社モリデザインワークス
法人,新規,24218,,田上町障害者ふれあいセンター　やすらぎの家,新潟県,南蒲原郡　田上町大字原ヶ崎新田３０７０番地,,0256-57-6262,,社会福祉法人　田上町社会福祉協議会,会長　髙橋　勝之,南蒲原郡　田上町大字原ヶ崎新田３０７１番地,,0256-57-5877,,,⑪ 菓子製造業,,,4 - 245,0,0,2022年02月19日,2022年01月27日,2022年02月18日,2022年02月19日,2027年03月31日,,,,,,154,田上町障害者ふれあいセンター　やすらぎの家,0256,0256-57-6262,,,,新潟県　南蒲原郡　田上町大字原ヶ崎新田３０７０番地,新潟県南蒲原郡田上町原が崎新田３０７０番地,,90354,15,15361,原が崎新田,2022/01/27,2022/02/19,2022/02/19,,2027/03/31,社会福祉法人　田上町社会福祉協議会, 会長　髙橋　勝之,0256-57-5877,南蒲原郡　田上町大字原ヶ崎新田３０７１番地,新潟県南蒲原郡田上町原が崎新田３０７１番地,,90354,新潟県,南蒲原郡田上町,原が崎新田,4 - 245,新規,菓子製造業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,E,9,,,田上町障害者ふれあいセンタやすらぎの家0256-57-62629035415361,7f7526eb-a06e-4814-9cf1-214d2abf42e4,社会福祉法人田上町社会福祉協議会90354,e6ce8826-9412-4d90-9e3d-9d6a2bd2e9b1,291b3edd-4616-48ee-b0ed-f7743c0c5769,2022/02/19,田上町障害者ふれあいセンター　やすらぎの家,田上町障害者ふれあいセンタやすらぎの家,社会福祉法人田上町社会福祉協議会
法人,新規,25018,,ピアレマート田上店,新潟県,南蒲原郡　田上町川船河字道心沢1360番地1,,0256-53-2350,,株式会社　魚斎藤,代表取締役社長　朝日　幸勝,五泉市村松14番地1,,0250-58-6146,,,① 飲食店営業,,,4 - 251,0,0,2022年02月19日,2022年01月27日,2022年02月18日,2022年02月19日,2027年03月31日,,,,,,154,ピアレマート田上店,0256,0256-53-2350,,,,新潟県　南蒲原郡　田上町川船河字道心沢1360番地1,新潟県南蒲原郡田上町川船河字道心沢１３６０番地１,,90348,15,15361,川船河,2022/01/27,2022/02/19,2022/02/19,,2027/03/31,株式会社　魚斎藤, 代表取締役社長　朝日　幸勝,0250-58-6146,五泉市村松14番地1,新潟県五泉市村松１４番地１,,88452,新潟県,五泉市,村松,4 - 251,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,ピアレマト田上店0256-53-23509034815361,c950bae8-c641-4cf3-b5aa-a605230e2a25,株式会社魚斎藤88452,6c7ea75e-ec0f-49f0-a5df-7011f92ea9a4,a18a3010-5fd4-452e-b349-ed07f2e53c3d,2022/02/19,ピアレマート田上店,ピアレマト田上店,株式会社魚斎藤
法人,新規,25018,,ピアレマート田上店,新潟県,南蒲原郡　田上町川船河字道心沢1360番地1,,0256-53-2350,,株式会社　魚斎藤,代表取締役社長　朝日　幸勝,五泉市村松14番地1,,0250-58-6146,,,④ 魚介類販売業,,,4 - 251,0,0,2022年02月19日,2022年01月27日,2022年02月18日,2022年02月19日,2027年03月31日,,,,,,154,ピアレマート田上店,0256,0256-53-2350,,,,新潟県　南蒲原郡　田上町川船河字道心沢1360番地1,新潟県南蒲原郡田上町川船河字道心沢１３６０番地１,,90348,15,15361,川船河,2022/01/27,2022/02/19,2022/02/19,,2027/03/31,株式会社　魚斎藤, 代表取締役社長　朝日　幸勝,0250-58-6146,五泉市村松14番地1,新潟県五泉市村松１４番地１,,88452,新潟県,五泉市,村松,4 - 251,新規,魚介類販売業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,I,58,,,ピアレマト田上店0256-53-23509034815361,c950bae8-c641-4cf3-b5aa-a605230e2a25,株式会社魚斎藤88452,6c7ea75e-ec0f-49f0-a5df-7011f92ea9a4,85e913f0-50ab-4754-80b6-dd5ddade047e,2022/02/19,ピアレマート田上店,ピアレマト田上店,株式会社魚斎藤
法人,新規,25019,,ピアレマートさいとう田上店内　(株)ウェイブ,新潟県,南蒲原郡　田上町大字川船河字道心沢甲1360番地1,,0256-53-2350,,株式会社　ウェイブ,代表取締役　作本　明広,長岡市福山町1082番地,,0258-21-4888,,,③ 食肉販売業,,,4 - 243,0,0,2022年02月04日,2022年01月27日,2022年02月03日,2022年02月04日,2027年03月31日,,,,,,154,ピアレマートさいとう田上店内　(株)ウェイブ,0256,0256-53-2350,,,,新潟県　南蒲原郡　田上町大字川船河字道心沢甲1360番地1,新潟県南蒲原郡田上町川船河字道心沢甲１３６０番地１,,90348,15,15361,川船河,2022/01/27,2022/02/04,2022/02/04,,2027/03/31,株式会社　ウェイブ, 代表取締役　作本　明広,0258-21-4888,長岡市福山町1082番地,新潟県長岡市福山町１０８２番地,,85411,新潟県,長岡市,福山町,4 - 243,新規,食肉販売業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,I,58,583,,ピアレマトさいとう田上店内株式会社ウェイブ0256-53-23509034815361,694cbb3d-154d-48cb-8b65-59d40db24603,株式会社ウェイブ85411,e9029d88-a3ea-4ac3-9dee-64e29cc0de59,86195f38-280b-48f4-99f1-4db2a5c5e193,2022/02/04,ピアレマートさいとう田上店内　株式会社ウェイブ,ピアレマトさいとう田上店内株式会社ウェイブ,株式会社ウェイブ
法人,新規,25030,,障害福祉サービス事業所　いからし工房,新潟県,三条市月岡２６７２番地３,,0256-31-2230,,社会福祉法人　県央福祉会,理事長　碁石　學,三条市田島２－２２－２８,,0256-31-1810,,,⑪ 菓子製造業,,,4 - 264,0,0,2022年02月26日,2022年02月10日,2022年02月25日,2022年02月26日,2027年05月31日,,,,,,154,障害福祉サービス事業所　いからし工房,0256,0256-31-2230,,,,新潟県　三条市月岡２６７２番地３,新潟県三条市月岡２６７２番地３,,86069,15,15204,月岡２,2022/02/10,2022/02/26,2022/02/26,,2027/05/31,社会福祉法人　県央福祉会, 理事長　碁石　學,0256-31-1810,三条市田島２－２２－２８,新潟県三条市田島２－２２－２８,,86057,新潟県,三条市,田島２,4 - 264,新規,菓子製造業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,E,9,,,障害福祉サビス事業所いからし工房0256-31-22308606915204,5ec0a396-6d82-4316-8e6b-a978efb62b5d,社会福祉法人県央福祉会86057,cde56325-e639-456f-bdb1-4b5a78520328,b22f4cf8-79ea-42dd-8526-2b9d2b31b39a,2022/02/26,障害福祉サービス事業所　いからし工房,障害福祉サビス事業所いからし工房,社会福祉法人県央福祉会
法人,新規,25060,,わたなべ,新潟県,南蒲原郡　田上町大字原ヶ崎新田１３８３番地１,,0256-47-6555,,株式会社　T's　LOVE,代表取締役　藤田　知己,南蒲原郡　田上町大字羽生田乙１４８番地３２,,0256-47-5955,,,① 飲食店営業,,,4 - 234,0,0,2022年02月04日,2022年01月27日,2022年02月03日,2022年02月04日,2027年03月31日,,,,,,154,わたなべ,0256,0256-47-6555,,,,新潟県　南蒲原郡　田上町大字原ヶ崎新田１３８３番地１,新潟県南蒲原郡田上町原が崎新田１３８３番地１,,90354,15,15361,原が崎新田,2022/01/27,2022/02/04,2022/02/04,,2027/03/31,株式会社　T's　LOVE, 代表取締役　藤田　知己,0256-47-5955,南蒲原郡　田上町大字羽生田乙１４８番地３２,新潟県南蒲原郡田上町羽生田乙１４８番地３２,,90353,新潟県,南蒲原郡田上町,羽生田,4 - 234,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,わたなべ0256-47-65559035415361,ebdd96f0-5700-4919-acbf-5f34ac3b6238,株式会社Ｔ＇ｓ　ＬＯＶＥ90353,4a461078-4e3f-4dc5-8f93-653749f74406,2319f3a0-81dc-4235-b38d-c0af4e29ecea,2022/02/04,わたなべ,わたなべ,株式会社Ｔ＇ｓ　ＬＯＶＥ
法人,新規,25097,,株式会社フタバ　中央研究所,新潟県,三条市西本成寺２丁目２４番２６号,,0256-33-3221,,株式会社　フタバ,代表取締役　江口　晃,三条市西本成寺２丁目２４番２６号,,0256-33-3221,,,㉚ 密封包装食品製造業,,,2 - 160,0,0,2022年02月15日,2022年02月14日,2022年02月14日,2022年02月15日,2027年05月31日,,,,,,154,株式会社フタバ　中央研究所,0256,0256-33-3221,,,,新潟県　三条市西本成寺２丁目２４番２６号,新潟県三条市西本成寺２丁目２４番２６号,,86092,15,15204,西本成寺２,2022/02/14,2022/02/15,2022/02/15,,2027/05/31,株式会社　フタバ, 代表取締役　江口　晃,0256-33-3221,三条市西本成寺２丁目２４番２６号,新潟県三条市西本成寺２丁目２４番２６号,,86092,新潟県,三条市,西本成寺２,2 - 160,新規,密封包装食品製造業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,E,9,,,株式会社フタバ中央研究所0256-33-32218609215204,c977d939-6597-4d47-8d1c-66a4487a07c5,株式会社フタバ86092,f113ef65-ab73-4ec0-a273-dc3e173dd87f,56c53cc2-3fda-4cc4-9d35-f662fb53522c,2022/02/15,株式会社フタバ　中央研究所,株式会社フタバ中央研究所,株式会社フタバ
法人,新規,25115,,マルソーグループ社内託児所　月岡わくわくちびっこ園,新潟県,三条市月岡綾ノ前2783-1,,0256-36-2841,,株式会社　ファースト・ブレイン,代表取締役　渡邉　雅之,三条市一ノ門２丁目１１－２７,,0256-32-1077,,,① 飲食店営業,,,4 - 267,0,0,2022年02月26日,2022年02月10日,2022年02月25日,2022年02月26日,2027年05月31日,,,,,,154,マルソーグループ社内託児所　月岡わくわくちびっこ園,0256,0256-36-2841,,,,新潟県　三条市月岡綾ノ前2783-1,新潟県三条市月岡綾ノ前２７８３－１,,86067,15,15204,月岡,2022/02/10,2022/02/26,2022/02/26,,2027/05/31,株式会社　ファースト・ブレイン, 代表取締役　渡邉　雅之,0256-32-1077,三条市一ノ門２丁目１１－２７,新潟県三条市一ノ門２丁目１１－２７,,86138,新潟県,三条市,一ノ門２,4 - 267,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,マルソグルプ社内託児所月岡わくわくちびっこ園0256-36-28418606715204,043e4eb2-4d46-4abc-bf1c-46d6791ff2ec,株式会社ファースト・ブレイン86138,01cc415b-67ad-426d-b420-07c78d191899,784a4437-674f-4090-b927-618d9446840f,2022/02/26,マルソーグループ社内託児所　月岡わくわくちびっこ園,マルソグルプ社内託児所月岡わくわくちびっこ園,株式会社ファースト・ブレイン
