https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,n処理終了,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
わくわく手づくりファーム川北産直物産館,石川県,能美郡川北町壱ツ屋183-3,能美郡川北町壱ツ屋１８３－３,,,漬物製造業,有限会社わくわく手づくりファーム川北,入口博志,能美郡川北町橘新イ54-1,能美郡川北町橘新イ５４－１,,076-278-8989,2022.2.10,2022.2.10,新規,第62210332号,,217,わくわく手づくりファーム川北産直物産館,076,,,,,石川県　能美郡川北町壱ツ屋１８３－３,石川県能美郡川北町壱ツ屋１８３－３,,701408,17,17324,壱ツ屋,,2022/02/10,2022/02/10,,,有限会社わくわく手づくりファーム川北,入口博志,076-278-8989,能美郡川北町橘新イ５４－１,石川県能美郡川北町橘新イ５４－１,,701381,石川県,能美郡川北町,橘,第62210332号,新規,漬物製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,E,9,,,わくわく手づくりファム川北産直物産館70140817324,1bd44127-4154-48f3-a97c-eaec0c1ff609,有限会社わくわく手づくりファーム川北701381,518225c8-030e-4c37-857a-8da2eea909e2,8ea9b168-30fc-400c-829a-d686c87dd9b3,2022/02/10,わくわく手づくりファーム川北産直物産館,わくわく手づくりファム川北産直物産館,有限会社わくわく手づくりファーム川北
焼肉レストラン小松味道園,石川県,小松市東町3番地,小松市東町３番地,,,食肉販売業,株式会社藤本,平野兼良,小松市東町3番地,小松市東町３番地,,0761-24-5555,2022.2.14,2022.2.14,新規,第62210333号,,217,焼肉レストラン小松味道園,0761,,,,,石川県　小松市東町３番地,石川県小松市東町３番地,,95389,17,17203,東町,,2022/02/14,2022/02/14,,,株式会社藤本,平野兼良,0761-24-5555,小松市東町３番地,石川県小松市東町３番地,,95389,石川県,小松市,東町,第62210333号,新規,食肉販売業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,I,58,583,,焼肉レストラン小松味道園9538917203,e41b31ae-abf6-4c0f-ace1-f011710d3e4e,株式会社藤本95389,3db70bd9-b395-467a-b4eb-fe49bb9422f9,5957e93b-2ded-4ede-8203-5401039cc2f1,2022/02/14,焼肉レストラン小松味道園,焼肉レストラン小松味道園,株式会社藤本
小松フレックスホテル,石川県,小松市長崎町2-60,小松市長崎町２－６０,,,飲食店営業,有限会社ケーズコーポレーション,小野勝康,東京都中央区東日本橋2丁目25番4号サンライズ升和ビル7F,東京都中央区東日本橋２丁目２５番４号,サンライズ升和ビル７F,03-5829-4851,2022.2.21,2022.2.21,新規,第62210335号,,217,小松フレックスホテル,0761,,,,,石川県　小松市長崎町２－６０,石川県小松市長崎町２－６０,,95354,17,17203,長崎町２,,2022/02/21,2022/02/21,,,有限会社ケーズコーポレーション,小野勝康,03-5829-4851,東京都中央区東日本橋２丁目２５番４号,東京都中央区東日本橋２丁目２５番４号,サンライズ升和ビル７F,73031,東京都,中央区,東日本橋２,第62210335号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,小松フレックスホテル9535417203,7a7a5d16-8890-4baa-a5c6-46bc0cac24a9,有限会社ケーズコーポレーション73031,e52970cd-a5a7-4a52-89b9-4a35111c4d89,5496c98a-1fe3-4c6a-a3d5-38a88d0de783,2022/02/21,小松フレックスホテル,小松フレックスホテル,有限会社ケーズコーポレーション
うどん工房穂の香,石川県,小松市若杉町3丁目21番地,小松市若杉町３丁目２１番地,,,そうざい製造業,有限会社松月苑,谷口哲也,小松市若杉町3丁目21番地,小松市若杉町３丁目２１番地,,0761-22-7028,2022.2.22,2022.2.22,新規,第62210337号,,217,うどん工房穂の香,0761,,,,,石川県　小松市若杉町３丁目２１番地,石川県小松市若杉町３丁目２１番地,,95461,17,17203,若杉町,,2022/02/22,2022/02/22,,,有限会社松月苑,谷口哲也,0761-22-7028,小松市若杉町３丁目２１番地,石川県小松市若杉町３丁目２１番地,,95461,石川県,小松市,若杉町,第62210337号,新規,そうざい製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,E,9,,,うどん工房穂の香9546117203,6771e9e4-600b-4cd1-a565-944f4fd704de,有限会社松月苑95461,80a7303b-b096-491f-a187-6f176b5a1b1a,9cdc661d-a9e1-441d-b554-25d346f36b5b,2022/02/22,うどん工房穂の香,うどん工房穂の香,有限会社松月苑
八号軒,石川県,能美市大長野町ト44-4,能美市大長野町ト４４－４,,,そうざい製造業,尾崎美津枝,,,,,,2022.2.25,2022.2.25,新規,第62210338号,,217,八号軒,0761,,,,,石川県　能美市大長野町ト４４－４,石川県能美市大長野町ト４４－４,,96541,17,17211,大長野町,,2022/02/25,2022/02/25,,,,尾崎美津枝 ,,,,,,,,,第62210338号,新規,そうざい製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,E,9,,,八号軒9654117211,91ac5cda-84c3-4c6b-b847-ae070527f095,,personal,e43a1d58-2a2c-49ef-94c1-b01833597b89,2022/02/25,八号軒,八号軒,
能美市ふるさと交流研修センターさらい,石川県,能美市石子町ハ147番地1,能美市石子町ハ１４７番地１,,,飲食店営業,株式会社リナシェンテマジック,木下孝治,金沢市八日市3丁目604番地,金沢市八日市３丁目６０４番地,,076-240-6060,2022.2.25,2022.2.25,新規,第62210339号,,217,能美市ふるさと交流研修センターさらい,0761,,,,,石川県　能美市石子町ハ１４７番地１,石川県能美市石子町ハ１４７番地１,,96535,17,17211,石子町,,2022/02/25,2022/02/25,,,株式会社リナシェンテマジック,木下孝治,076-240-6060,金沢市八日市３丁目６０４番地,石川県金沢市八日市３丁目６０４番地,,94750,石川県,金沢市,八日市３,第62210339号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,能美市ふるさと交流研修センタさらい9653517211,72e25cfe-7496-4165-8e09-03e5ba03d9d9,株式会社リナシェンテマジック94750,00d58cca-7153-4ba2-a729-16625950f6ab,9b90aacf-4318-49dd-9207-68d4999373d7,2022/02/25,能美市ふるさと交流研修センターさらい,能美市ふるさと交流研修センタさらい,株式会社リナシェンテマジック
arumr,石川県,能美市小杉町イ73,能美市小杉町イ７３,,,菓子製造業,北村陽子,,,,,,2022.2.28,2022.2.28,新規,第62210400号,,217,arumr,0761,,,,,石川県　能美市小杉町イ７３,石川県能美市小杉町イ７３,,96548,17,17211,小杉町,,2022/02/28,2022/02/28,,,,北村陽子 ,,,,,,,,,第62210400号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,E,9,,,ａｒｕｍｒ9654817211,4356a2d3-3511-499c-b45f-b0b80287d7d0,,personal,d7eeaa94-6b14-4a64-bbc7-ed7c42c73780,2022/02/28,ａｒｕｍｒ,ａｒｕｍｒ,
arumr,石川県,能美市小杉町イ73,能美市小杉町イ７３,,,そうざい製造業,北村陽子,,,,,,2022.2.28,2022.2.28,新規,第62210401号,,217,arumr,0761,,,,,石川県　能美市小杉町イ７３,石川県能美市小杉町イ７３,,96548,17,17211,小杉町,,2022/02/28,2022/02/28,,,,北村陽子 ,,,,,,,,,第62210401号,新規,そうざい製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,E,9,,,ａｒｕｍｒ9654817211,4356a2d3-3511-499c-b45f-b0b80287d7d0,,personal,47b9667d-4297-440d-8540-15e7b162a4d0,2022/02/28,ａｒｕｍｒ,ａｒｕｍｒ,
武尊,石川県,小松市飴屋町22番地こまつ夢館ビル2F,小松市飴屋町２２番地,こまつ夢館ビル２F,,飲食店営業,服部晃丈,,,,,,2022.3.1,2022.3.1,新規,第62210402号,,217,武尊,0761,,,,,石川県　小松市飴屋町２２番地,石川県小松市飴屋町２２番地,こまつ夢館ビル２F,95202,17,17203,飴屋町,,2022/03/01,2022/03/01,,,,服部晃丈 ,,,,,,,,,第62210402号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,武尊9520217203,e66229c7-d402-4845-a658-d6e3c7518aaa,,personal,ac8967cb-cf0d-4a00-b396-9fe6384f0d6b,2022/03/01,武尊,武尊,
M（エム）,石川県,小松市飴屋町22夢館ビル２F,小松市飴屋町２,,,飲食店営業,川原三千代,,,,,,2022.3.1,2022.3.1,新規,第62210403号,,217,M（エム）,0761,,,,,石川県　小松市飴屋町２,石川県小松市飴屋町２,,95202,17,17203,飴屋町,,2022/03/01,2022/03/01,,,,川原三千代 ,,,,,,,,,第62210403号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,Ｍエム9520217203,0baa1f37-0ffb-4187-bd82-99184b81a4c6,,personal,72f4b422-f576-44da-9d57-3901c1a4a39c,2022/03/01,Ｍ（エム）,Ｍエム,
カフェ・バンカレラ小松店,石川県,小松市一針町ロ85-1,小松市一針町ロ８５－１,,03-5646-6777,飲食店営業,株式会社マルハンダイニング,窪田猛,東京都江東区深川2-8-19,東京都江東区深川２－８－１９,,03-5646-6777,2022.3.1,2022.3.1,新規,第62210404号,,217,カフェ・バンカレラ小松店,0761,03-5646-6777,,,,石川県　小松市一針町ロ８５－１,石川県小松市一針町ロ８５－１,,95392,17,17203,一針町,,2022/03/01,2022/03/01,,,株式会社マルハンダイニング,窪田猛,03-5646-6777,東京都江東区深川２－８－１９,東京都江東区深川２－８－１９,,73715,東京都,江東区,深川２,第62210404号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,カフェバンカレラ小松店03-5646-67779539217203,3d08d0c7-129e-498d-b675-9c53076832fd,株式会社マルハンダイニング73715,d03eaad0-6fe7-4d01-bff0-d7a4ed59729e,f05d71e6-8d8a-47a6-b9fd-f5cf6afb60fd,2022/03/01,カフェ・バンカレラ小松店,カフェバンカレラ小松店,株式会社マルハンダイニング
ごはんどき小松店,石川県,小松市一針町ロ85-1,小松市一針町ロ８５－１,,03-5646-6777,飲食店営業,株式会社マルハンダイニング,窪田猛,東京都江東区深川2-8-19,東京都江東区深川２－８－１９,,03-5646-6777,2022.3.1,2022.3.1,新規,第62210405号,,217,ごはんどき小松店,0761,03-5646-6777,,,,石川県　小松市一針町ロ８５－１,石川県小松市一針町ロ８５－１,,95392,17,17203,一針町,,2022/03/01,2022/03/01,,,株式会社マルハンダイニング,窪田猛,03-5646-6777,東京都江東区深川２－８－１９,東京都江東区深川２－８－１９,,73715,東京都,江東区,深川２,第62210405号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,ごはんどき小松店03-5646-67779539217203,267bbf4b-5230-4c4e-a0f4-640a8788e675,株式会社マルハンダイニング73715,d03eaad0-6fe7-4d01-bff0-d7a4ed59729e,422626cf-e892-440d-83b8-713a26349585,2022/03/01,ごはんどき小松店,ごはんどき小松店,株式会社マルハンダイニング
ファミリーマート小松園町東店,石川県,小松市園町ニ４２－１,小松市園町ニ４２－１,,,飲食店営業,株式会社ウィスタ,小藤哲郎,小松市鵜川町乙174番地1,小松市鵜川町乙１７４番地１,,0761-47-1038,2022.3.1,2022.3.1,新規,第62210406号,,217,ファミリーマート小松園町東店,0761,,,,,石川県　小松市園町ニ４２－１,石川県小松市園町ニ４２－１,,95321,17,17203,園町,,2022/03/01,2022/03/01,,,株式会社ウィスタ,小藤哲郎,0761-47-1038,小松市鵜川町乙１７４番地１,石川県小松市鵜川町乙１７４番地１,,95226,石川県,小松市,鵜川町,第62210406号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,ファミリマト小松園町東店9532117203,c2fbfd2e-2b6a-4da5-afc5-0b99a50d094a,株式会社ウィスタ95226,8b6e470d-a22c-46d5-86b8-78d5e4f2a006,58246183-929d-4bdb-b2b4-429bd44c253c,2022/03/01,ファミリーマート小松園町東店,ファミリマト小松園町東店,株式会社ウィスタ
酒場HOLE19,石川県,小松市向本折町午207,小松市向本折町午２０７,,,飲食店営業,株式会社BEFREE,廣田一尋,小松市小野町己281番地,小松市小野町己２８１番地,,0761-47-3435,2022.3.1,2022.3.1,新規,第62210407号,,217,酒場HOLE19,0761,,,,,石川県　小松市向本折町午２０７,石川県小松市向本折町午２０７,,95436,17,17203,向本折町,,2022/03/01,2022/03/01,,,株式会社BEFREE,廣田一尋,0761-47-3435,小松市小野町己２８１番地,石川県小松市小野町己２８１番地,,95246,石川県,小松市,小野町,第62210407号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,酒場ＨＯＬＥ１９9543617203,38eabeba-6d45-4d41-9b0f-6f6689db2a3b,株式会社ＢＥＦＲＥＥ95246,6becd90f-6b5b-44c2-95c5-f948f083b285,05625405-f277-430a-91f7-c69d3b08df14,2022/03/01,酒場ＨＯＬＥ１９,酒場ＨＯＬＥ１９,株式会社ＢＥＦＲＥＥ
ｋｏｋｏ,石川県,小松市若杉町ニ95番地1,小松市若杉町ニ９５番地１,,,飲食店営業,山科俊貴,,,,,,2022.3.1,2022.3.1,新規,第62210408号,,217,ｋｏｋｏ,0761,,,,,石川県　小松市若杉町ニ９５番地１,石川県小松市若杉町ニ９５番地１,,95461,17,17203,若杉町,,2022/03/01,2022/03/01,,,,山科俊貴 ,,,,,,,,,第62210408号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,ｋｏｋｏ9546117203,cfda7705-0efd-44c6-b28f-39391165e8aa,,personal,9a8b09e9-4ced-4b0c-a269-8279fb002338,2022/03/01,ｋｏｋｏ,ｋｏｋｏ,
ｋｏｋｏ,石川県,小松市若杉町ニ95番地1,小松市若杉町ニ９５番地１,,,菓子製造業,山科俊貴,,,,,,2022.3.1,2022.3.1,新規,第62210409号,,217,ｋｏｋｏ,0761,,,,,石川県　小松市若杉町ニ９５番地１,石川県小松市若杉町ニ９５番地１,,95461,17,17203,若杉町,,2022/03/01,2022/03/01,,,,山科俊貴 ,,,,,,,,,第62210409号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,E,9,,,ｋｏｋｏ9546117203,cfda7705-0efd-44c6-b28f-39391165e8aa,,personal,52590ecf-4f6e-4201-9e0e-bbdacddf56ee,2022/03/01,ｋｏｋｏ,ｋｏｋｏ,
ファミリーマート小松城南店,石川県,小松市城南町２４番地１,小松市城南町２４番地１,,0761-24-4272,飲食店営業,株式会社ナッツベリー,髙村政博,小松市城南町２４番地１,小松市城南町２４番地１,,0761-24-4272,2022.3.1,2022.3.1,新規,第62210410号,,217,ファミリーマート小松城南店,0761,0761-24-4272,,,,石川県　小松市城南町２４番地１,石川県小松市城南町２４番地１,,95307,17,17203,城南町,,2022/03/01,2022/03/01,,,株式会社ナッツベリー,髙村政博,0761-24-4272,小松市城南町２４番地１,石川県小松市城南町２４番地１,,95307,石川県,小松市,城南町,第62210410号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,ファミリマト小松城南店0761-24-42729530717203,f42f6110-3041-4888-a731-96c333619d63,株式会社ナッツベリー95307,f5cb3cb7-0972-4572-96fd-d63d3d42e92f,e726737b-1326-4557-b88f-8894dce41b54,2022/03/01,ファミリーマート小松城南店,ファミリマト小松城南店,株式会社ナッツベリー
有限会社ビロン,石川県,小松市城南町27-1,小松市城南町２７－１,,0761-21-0765,飲食店営業,有限会社ビロン,清水正春,小松市城南町27‐1,小松市城南町２７－１,,0761-21-0765,2022.3.1,2022.3.1,新規,第62210411号,,217,有限会社ビロン,0761,0761-21-0765,,,,石川県　小松市城南町２７－１,石川県小松市城南町２７－１,,95307,17,17203,城南町,,2022/03/01,2022/03/01,,,有限会社ビロン,清水正春,0761-21-0765,小松市城南町２７－１,石川県小松市城南町２７－１,,95307,石川県,小松市,城南町,第62210411号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,有限会社ビロン0761-21-07659530717203,b83dfb20-9366-4cec-8a0d-82b88acc24b4,有限会社ビロン95307,82827b6c-0379-4048-bd94-fb421c6df942,8f047aaa-b6b8-4589-b9bc-a4ae08900605,2022/03/01,有限会社ビロン,有限会社ビロン,有限会社ビロン
有限会社ビロン,石川県,小松市城南町27-1,小松市城南町２７－１,,0761-21-0765,菓子製造業,有限会社ビロン,清水正春,小松市城南町27‐1,小松市城南町２７－１,,0761-21-0765,2022.3.1,2022.3.1,新規,第62210412号,,217,有限会社ビロン,0761,0761-21-0765,,,,石川県　小松市城南町２７－１,石川県小松市城南町２７－１,,95307,17,17203,城南町,,2022/03/01,2022/03/01,,,有限会社ビロン,清水正春,0761-21-0765,小松市城南町２７－１,石川県小松市城南町２７－１,,95307,石川県,小松市,城南町,第62210412号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,E,9,,,有限会社ビロン0761-21-07659530717203,b83dfb20-9366-4cec-8a0d-82b88acc24b4,有限会社ビロン95307,82827b6c-0379-4048-bd94-fb421c6df942,9b9152a1-7d8e-48bc-838c-a2d254d11fb5,2022/03/01,有限会社ビロン,有限会社ビロン,有限会社ビロン
ローソン小松大島町店,石川県,小松市大島町170-2,小松市大島町１７０－２,,,飲食店営業,安田和美,,,,,,2022.3.1,2022.3.1,新規,第62210413号,,217,ローソン小松大島町店,0761,,,,,石川県　小松市大島町１７０－２,石川県小松市大島町１７０－２,,95240,17,17203,大島町,,2022/03/01,2022/03/01,,,,安田和美 ,,,,,,,,,第62210413号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,ロソン小松大島町店9524017203,0834194f-9e5d-476c-8fc9-280e1a9ba78a,,personal,f7a667c5-6d8f-47b5-8c1d-44d8fc8a184e,2022/03/01,ローソン小松大島町店,ロソン小松大島町店,
朋来軒,石川県,小松市大領町ワ206番地,小松市大領町ワ２０６番地,,,飲食店営業,佐藤昭人,,,,,,2022.3.1,2022.3.1,新規,第62210414号,,217,朋来軒,0761,,,,,石川県　小松市大領町ワ２０６番地,石川県小松市大領町ワ２０６番地,,95333,17,17203,大領町,,2022/03/01,2022/03/01,,,,佐藤昭人 ,,,,,,,,,第62210414号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,朋来軒9533317203,c434ffaa-e1c0-40bf-854c-f1b93029d1b3,,personal,ac1bb5ae-7cc3-48ba-8abd-e6f976126fff,2022/03/01,朋来軒,朋来軒,
一山楼,石川県,小松市殿町2丁目17番地,小松市殿町２丁目１７番地,,,飲食店営業,作本昌宏,,,,,,2022.3.1,2022.3.1,新規,第62210415号,,217,一山楼,0761,,,,,石川県　小松市殿町２丁目１７番地,石川県小松市殿町２丁目１７番地,,95345,17,17203,殿町２,,2022/03/01,2022/03/01,,,,作本昌宏 ,,,,,,,,,第62210415号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,一山楼9534517203,3e2ca71d-dc83-4e0d-96cc-0dfa80cbf416,,personal,cbcb03a3-f7e5-4aec-9e98-2b94ea0b3a43,2022/03/01,一山楼,一山楼,
まりタコ,石川県,小松市島町ヌ-196,小松市島町ヌ－１９６,,,飲食店営業,嶋野まり,,,,,,2022.3.1,2022.3.1,新規,第62210416号,,217,まりタコ,0761,,,,,石川県　小松市島町ヌ－１９６,石川県小松市島町ヌ－１９６,,95292,17,17203,島町,,2022/03/01,2022/03/01,,,,嶋野まり ,,,,,,,,,第62210416号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,まりタコ9529217203,07d71b44-4974-48dc-8e68-8c8c97aa0a90,,personal,cb27ba97-a137-415f-8ad0-a8a19e4e5557,2022/03/01,まりタコ,まりタコ,
The鍋や,石川県,小松市湯上町い7HOTEL AZ石川粟津店１階,小松市湯上町い７,HOTEL AZ石川粟津店１階,0761-65-3313,飲食店営業,株式会社アメイズ,穴見賢一,大分県大分市西鶴崎1-7-17,大分県大分市西鶴崎１－７－１７,,097-524-3301,2022.3.1,2022.3.1,新規,第62210417号,,217,The鍋や,0761,0761-65-3313,,,,石川県　小松市湯上町い７,石川県小松市湯上町い７,HOTEL AZ石川粟津店１階,95448,17,17203,湯上町,,2022/03/01,2022/03/01,,,株式会社アメイズ,穴見賢一,097-524-3301,大分県大分市西鶴崎１－７－１７,大分県大分市西鶴崎１－７－１７,,210491,大分県,大分市,西鶴崎１,第62210417号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,Ｔｈｅ鍋や0761-65-33139544817203,cba969ae-6604-4511-b7c0-cf899d4983e1,株式会社アメイズ210491,61734091-40dd-43f2-a612-e81e8ca35ea6,367c1559-2ba1-4bd5-ba04-8622c5298bc1,2022/03/01,Ｔｈｅ鍋や,Ｔｈｅ鍋や,株式会社アメイズ
パティスリーべルネサンス,石川県,小松市北浅井町舟津33-2,小松市北浅井町舟津３３－２,,,飲食店営業,石井美名,,,,,,2022.3.1,2022.3.1,新規,第62210418号,,217,パティスリーべルネサンス,0761,,,,,石川県　小松市北浅井町舟津３３－２,石川県小松市北浅井町舟津３３－２,,95263,17,17203,北浅井町,,2022/03/01,2022/03/01,,,,石井美名 ,,,,,,,,,第62210418号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,パティスリべルネサンス9526317203,9734197d-9536-4138-97f1-405e4c0b6101,,personal,a4d52cd9-c1f2-4e75-86eb-00fa32964213,2022/03/01,パティスリーべルネサンス,パティスリべルネサンス,
パティスリーべルネサンス,石川県,小松市北浅井町舟津33-2,小松市北浅井町舟津３３－２,,,菓子製造業,石井美名,,,,,,2022.3.1,2022.3.1,新規,第62210419号,,217,パティスリーべルネサンス,0761,,,,,石川県　小松市北浅井町舟津３３－２,石川県小松市北浅井町舟津３３－２,,95263,17,17203,北浅井町,,2022/03/01,2022/03/01,,,,石井美名 ,,,,,,,,,第62210419号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,E,9,,,パティスリべルネサンス9526317203,9734197d-9536-4138-97f1-405e4c0b6101,,personal,6f9a792b-85f6-4f69-9a07-75203e578b8b,2022/03/01,パティスリーべルネサンス,パティスリべルネサンス,
有限会社本田ストアー,石川県,小松市本江町ホ-1南加賀公設市場内,小松市本江町ホ－１,南加賀公設市場内,,そうざい製造業,有限会社本田ストアー,本田良,小松市大川町2丁目65番地,小松市大川町２丁目６５番地,,0761-22-5346,2022.3.1,2022.3.1,新規,第62210420号,,217,有限会社本田ストアー,0761,,,,,石川県　小松市本江町ホ－１,石川県小松市本江町ホ－１,南加賀公設市場内,95406,17,17203,本江町,,2022/03/01,2022/03/01,,,有限会社本田ストアー,本田良,0761-22-5346,小松市大川町２丁目６５番地,石川県小松市大川町２丁目６５番地,,95238,石川県,小松市,大川町２,第62210420号,新規,そうざい製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,E,9,,,有限会社本田ストア9540617203,5d1b5290-c627-46f5-bddd-eb545046ea7e,有限会社本田ストアー95238,202cd139-dded-4d90-a55e-74614d0e30b8,f8e77420-171c-45fc-a5b6-552d1530ad32,2022/03/01,有限会社本田ストアー,有限会社本田ストア,有限会社本田ストアー
手取フィッシュランド　フードコートMZ,石川県,能美市粟生町ヤ67手取フィッシュランド内,能美市粟生町ヤ６７,手取フィッシュランド内,,飲食店営業,手取観光株式会社,辻本憲次,能美市粟生町ツ58,能美市粟生町ツ５８,,0761-57-2211,2022.3.1,2022.3.1,新規,第62210421号,,217,手取フィッシュランド　フードコートMZ,0761,,,,,石川県　能美市粟生町ヤ６７,石川県能美市粟生町ヤ６７,手取フィッシュランド内,96527,17,17211,粟生町,,2022/03/01,2022/03/01,,,手取観光株式会社,辻本憲次,0761-57-2211,能美市粟生町ツ５８,石川県能美市粟生町ツ５８,,96527,石川県,能美市,粟生町,第62210421号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,手取フィッシュランドフドコトＭＺ9652717211,fea2c63c-5fa5-46a0-8b13-859490050d1a,手取観光株式会社96527,3a4b6a9c-a331-41f9-b4f3-bd1265ff91bd,65f10031-cc96-4f30-a6ba-cc491ec458de,2022/03/01,手取フィッシュランド　フードコートＭＺ,手取フィッシュランドフドコトＭＺ,手取観光株式会社
ビストロアミューズ,石川県,能美市寺井町ま7番地,能美市寺井町ま７番地,,0761-58-5613,飲食店営業,竹田美子,,,,,,2022.3.1,2022.3.1,新規,第62210422号,,217,ビストロアミューズ,0761,0761-58-5613,,,,石川県　能美市寺井町ま７番地,石川県能美市寺井町ま７番地,,96567,17,17211,寺井町,,2022/03/01,2022/03/01,,,,竹田美子 ,,,,,,,,,第62210422号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,ビストロアミュズ0761-58-56139656717211,fc3f61f6-ade4-4457-99bb-ec42103f53d6,,personal,f5a57f7e-2cb6-4caf-bb2c-b10ffc9b164c,2022/03/01,ビストロアミューズ,ビストロアミュズ,
有限会社あじの牧場丸太小舎,石川県,能美市大長野町ル24,能美市大長野町ル２４,,,飲食店営業,有限会社あじの牧場丸太小舎,小林茂夫,能美市大長野町ル24,能美市大長野町ル２４,,0761-58-5950,2022.3.1,2022.3.1,新規,第62210423号,,217,有限会社あじの牧場丸太小舎,0761,,,,,石川県　能美市大長野町ル２４,石川県能美市大長野町ル２４,,96541,17,17211,大長野町,,2022/03/01,2022/03/01,,,有限会社あじの牧場丸太小舎,小林茂夫,0761-58-5950,能美市大長野町ル２４,石川県能美市大長野町ル２４,,96541,石川県,能美市,大長野町,第62210423号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,有限会社あじの牧場丸太小舎9654117211,650360c5-bbc0-4af7-999a-bf8f63340cc9,有限会社あじの牧場丸太小舎96541,152dd182-ce5e-43f1-a400-f8afb9db77f8,f7a0e23a-430e-46e6-ad7d-c8c704105ac6,2022/03/01,有限会社あじの牧場丸太小舎,有限会社あじの牧場丸太小舎,有限会社あじの牧場丸太小舎
