https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請-電話番号1,業種,確認番号,許可年月日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
３７,ＢＡＧＬＥ　ＯＴＡＢＥ,神奈川県,平塚市見附町１９－７ＡＺＵＬ　Ｇｒａｎｄ　１Ｆ,平塚市見附町１９－７,ＡＺＵＬ　Ｇｒａｎｄ １Ｆ,,アクスモールディング株式会社,03-6423-7570  ,菓子製造業,第2021-003-0045号,R03.12.08,R03.12.08,,147,ＢＡＧＬＥ　ＯＴＡＢＥ,0463,,,,,神奈川県　平塚市見附町１９－７,神奈川県平塚市見附町１９－７,ＡＺＵＬ　Ｇｒａｎｄ １Ｆ,81432,14,14203,見附町,,2021/12/08,2021/12/08,,,アクスモールディング株式会社,,03-6423-7570  ,,,,,,,,第2021-003-0045号,,菓子製造業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,E,9,,,ＢＡＧＬＥＯＴＡＢＥ8143214203,14f3a92f-6081-4ddd-aba0-ecc3d3f73722,アクスモールディング株式会社,fa53249d-ee64-43a9-9452-d311ed3688c6,f8b2213e-296d-4ba8-9772-de47efa85601,2021/12/08,ＢＡＧＬＥ　ＯＴＡＢＥ,ＢＡＧＬＥＯＴＡＢＥ,アクスモールディング株式会社
３８,ガスト東海大学前店,神奈川県,平塚市南金目３５０－１,平塚市南金目３５０－１,,0463-50-3471  ,株式会社すかいらーくレストランツ,0422-37-5218  ,飲食店営業,第2021-001-0310号,R03.12.08,H13.01.22,,147,ガスト東海大学前店,0463,0463-50-3471,,,,神奈川県　平塚市南金目３５０－１,神奈川県平塚市南金目３５０－１,,81433,14,14203,南金目,,2001/01/22,2021/12/08,,,株式会社すかいらーくレストランツ,,0422-37-5218  ,,,,,,,,第2021-001-0310号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ガスト東海大学前店0463-50-34718143314203,95b337b1-f02d-402c-95c8-4ff9efdea22b,株式会社すかいらーくレストランツ,03ee98ae-5701-4260-a8b3-3fe4a48597cb,433d3ec1-378a-4cc8-9391-81d5e8de43ab,2021/12/08,ガスト東海大学前店,ガスト東海大学前店,株式会社すかいらーくレストランツ
３９,みねちゃん,神奈川県,平塚市南金目１３６１－１７,平塚市南金目１３６１－１７,,0463-58-7071  ,相原　峰男,,飲食店営業,第2021-001-0328号,R03.12.08,H19.12.25,,147,みねちゃん,0463,0463-58-7071,,,,神奈川県　平塚市南金目１３６１－１７,神奈川県平塚市南金目１３６１－１７,,81433,14,14203,南金目,,2007/12/25,2021/12/08,,,,相原　峰男,,,,,,,,,第2021-001-0328号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,みねちゃん0463-58-70718143314203,bef56e84-8fda-4de5-bc4c-6df2be4bc20b,,personal,f20708c1-892e-40d5-8dcf-1f8f60c3934a,2021/12/08,みねちゃん,みねちゃん,
４０,済生会　湘南平塚病院,神奈川県,平塚市宮松町１８－１,平塚市宮松町１８－１,,0463-71-6161  ,株式会社ＬＥＯＣ,03-5220-8550  ,飲食店営業,第2021-001-0313号,R03.12.08,        ,,147,済生会　湘南平塚病院,0463,0463-71-6161,,,,神奈川県　平塚市宮松町１８－１,神奈川県平塚市宮松町１８－１,,81441,14,14203,宮松町,,,2021/12/08,,,株式会社ＬＥＯＣ,,03-5220-8550  ,,,,,,,,第2021-001-0313号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,済生会湘南平塚病院0463-71-61618144114203,780c8b32-8f2d-4929-980e-85c5372afc8c,株式会社ＬＥＯＣ,14c9a469-d7aa-48a9-953f-9c7ddfcc1976,43399605-b201-47ef-baf0-f73b1742a8b1,2021/12/08,済生会　湘南平塚病院,済生会湘南平塚病院,株式会社ＬＥＯＣ
４１,森谷水産,神奈川県,,,,,森谷　仁,,魚介類販売業,第2021-014-0018号,R03.12.08,S54.12.18,,147,森谷水産,,,,,,神奈川県　,神奈川県,,,14,,,,1979/12/18,2021/12/08,,,,森谷　仁,,,,,,,,,第2021-014-0018号,,魚介類販売業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,I,58,,,森谷水産,412e4559-b809-4bc9-964c-d9e6ab115611,,personal,13042c29-c2a2-473d-8451-ee6dc72dbaaf,2021/12/08,森谷水産,森谷水産,
４２,ＬＯＶＥ　ＰＯＴＩＯＮ,神奈川県,平塚市紅谷町１４番８号西口イノマタビル２階,平塚市紅谷町１４番８号,西口イノマタビル２階,0463-79-6375  ,關　保雄,,飲食店営業,第2021-001-0306号,R03.12.10,R03.12.10,,147,ＬＯＶＥ　ＰＯＴＩＯＮ,0463,0463-79-6375,,,,神奈川県　平塚市紅谷町１４番８号,神奈川県平塚市紅谷町１４番８号,西口イノマタビル２階,81428,14,14203,紅谷町,,2021/12/10,2021/12/10,,,,關　保雄,,,,,,,,,第2021-001-0306号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ＬＯＶＥＰＯＴＩＯＮ0463-79-63758142814203,fb09a55e-dcb8-4085-9ac0-460e9b0b098d,,personal,a5b984a6-df61-4a3c-87ac-0cd497cf0711,2021/12/10,ＬＯＶＥ　ＰＯＴＩＯＮ,ＬＯＶＥＰＯＴＩＯＮ,
４３,道とん堀　平塚金目店,神奈川県,平塚市片岡４１６,平塚市片岡４１６,,0463-50-3740  ,株式会社道とん堀,042-551-5041  ,飲食店営業,第2021-001-0327号,R03.12.10,R03.12.10,,147,道とん堀　平塚金目店,0463,0463-50-3740,,,,神奈川県　平塚市片岡４１６,神奈川県平塚市片岡４１６,,81320,14,14203,片岡,,2021/12/10,2021/12/10,,,株式会社道とん堀,,042-551-5041  ,,,,,,,,第2021-001-0327号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,道とん堀平塚金目店0463-50-37408132014203,086100c6-b171-4760-ade6-ee2e8bd20eeb,株式会社道とん堀,ed6b8680-ad8c-4e40-98ba-e43e3c42c82a,8913733b-46db-4280-905e-c16bc618dd68,2021/12/10,道とん堀　平塚金目店,道とん堀平塚金目店,株式会社道とん堀
４４,広瀬川,神奈川県,平塚市見附町２６－１,平塚市見附町２６－１,,,髙橋　靖明,,飲食店営業,第2021-001-0326号,R03.12.10,R03.12.10,,147,広瀬川,0463,,,,,神奈川県　平塚市見附町２６－１,神奈川県平塚市見附町２６－１,,81432,14,14203,見附町,,2021/12/10,2021/12/10,,,,髙橋　靖明,,,,,,,,,第2021-001-0326号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,広瀬川8143214203,75752878-fe23-49e5-ac4e-2b7de70ed38d,,personal,20a62b2e-6c1d-46ca-996f-f1085fe63517,2021/12/10,広瀬川,広瀬川,
４５,魚松水産,神奈川県,中郡二宮町中里２－１９－２０,中郡二宮町中里２－１９－２０,,71-2686       ,松本　勉,,魚介類販売業,第2021-014-0019号,R03.12.10,S57.12.23,,147,魚松水産,0463,0463-71-2686,,,,神奈川県　中郡二宮町中里２－１９－２０,神奈川県中郡二宮町中里２－１９－２０,,83015,14,14342,中里２,,1982/12/23,2021/12/10,,,,松本　勉,,,,,,,,,第2021-014-0019号,,魚介類販売業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,I,58,,,魚松水産0463-71-26868301514342,986950c7-c21b-4b36-ad20-7f80c3691135,,personal,1d4445be-bb15-4e00-b472-eb192ff59af2,2021/12/10,魚松水産,魚松水産,
４６,養老乃瀧平塚八幡店,神奈川県,平塚市西八幡１丁目１－７,平塚市西八幡１丁目１－７,,0463-22-4705  ,山本　武,,飲食店営業,第2021-001-0325号,R03.12.13,R03.12.13,,147,養老乃瀧平塚八幡店,0463,0463-22-4705,,,,神奈川県　平塚市西八幡１丁目１－７,神奈川県平塚市西八幡１丁目１－７,,81401,14,14203,西八幡１,,2021/12/13,2021/12/13,,,,山本　武,,,,,,,,,第2021-001-0325号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,養老乃瀧平塚八幡店0463-22-47058140114203,f434b0f9-9ef4-47a5-b4f4-575aeaac0a20,,personal,5d27ebdb-f440-4bb3-8dd6-43baa88da65d,2021/12/13,養老乃瀧平塚八幡店,養老乃瀧平塚八幡店,
４７,家庭料理　市田,神奈川県,平塚市明石町１３－８ライズエステートビル１０２,平塚市明石町１３－８,ライズエステートビル１０２,              ,田中　綾子,,飲食店営業,第2021-001-0321号,R03.12.13,R03.12.13,,147,家庭料理　市田,0463,,,,,神奈川県　平塚市明石町１３－８,神奈川県平塚市明石町１３－８,ライズエステートビル１０２,81307,14,14203,明石町,,2021/12/13,2021/12/13,,,,田中　綾子,,,,,,,,,第2021-001-0321号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,家庭料理市田8130714203,628845cd-9138-4bfa-bd0d-24f15a8614df,,personal,bfd9cdd8-6b7a-459f-b92a-b9415c4fd8b8,2021/12/13,家庭料理　市田,家庭料理市田,
４８,くらた病院,神奈川県,平塚市東真土４丁目５番２６号,平塚市東真土４丁目５番２６号,,0463-54-0442  ,株式会社ＬＥＯＣ,03-5220-8580  ,飲食店営業,第2021-001-0302号,R03.12.13,H13.01.05,,147,くらた病院,0463,0463-54-0442,,,,神奈川県　平塚市東真土４丁目５番２６号,神奈川県平塚市東真土４丁目５番２６号,,81456,14,14203,東真土４,,2001/01/05,2021/12/13,,,株式会社ＬＥＯＣ,,03-5220-8580  ,,,,,,,,第2021-001-0302号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,くらた病院0463-54-04428145614203,497fdcd9-0094-469c-8ca1-61ff96284198,株式会社ＬＥＯＣ,14c9a469-d7aa-48a9-953f-9c7ddfcc1976,158530ee-9c66-4622-8ae9-fd985ba38a20,2021/12/13,くらた病院,くらた病院,株式会社ＬＥＯＣ
４９,利恵産業株式会社　湘南めぐみが丘工場,神奈川県,平塚市めぐみが丘１－２１－１０,平塚市めぐみが丘１－２１－１０,,0463-59-9681  ,利恵産業株式会社,042-756-7570  ,食肉製品製造業,第2021-013-0001号,R03.12.13,R03.12.13,,147,利恵産業株式会社　湘南めぐみが丘工場,0463,0463-59-9681,,,,神奈川県　平塚市めぐみが丘１－２１－１０,神奈川県平塚市めぐみが丘１－２１－１０,,81461,14,14203,めぐみが丘１,,2021/12/13,2021/12/13,,,利恵産業株式会社,,042-756-7570  ,,,,,,,,第2021-013-0001号,,食肉製品製造業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,E,9,,,利恵産業株式会社湘南めぐみが丘工場0463-59-96818146114203,00NaN_80cacbef-fd74-42f2-a4ec-85a05590dede,利恵産業株式会社,dae4e6e9-1f56-41e5-9f0d-7a9d1302a402,96fcc82b-d172-4c35-aa05-17fd5c1d7911,2021/12/13,利恵産業株式会社湘南めぐみが丘工場,利恵産業株式会社湘南めぐみが丘工場,利恵産業株式会社
５０,ＩＶＹ,神奈川県,平塚市明石町２２－１２福田ビル２－７,平塚市明石町２２－１２,福田ビル２－７,0463-26-6380  ,中村　徳仁,,飲食店営業,第2021-001-0314号,R03.12.14,R03.12.14,,147,ＩＶＹ,0463,0463-26-6380,,,,神奈川県　平塚市明石町２２－１２,神奈川県平塚市明石町２２－１２,福田ビル２－７,81307,14,14203,明石町,,2021/12/14,2021/12/14,,,,中村　徳仁,,,,,,,,,第2021-001-0314号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ＩＶＹ0463-26-63808130714203,122729b4-b4a2-4a7b-a587-9ff9f13e1984,,personal,cea297a1-61e4-4c8f-8caf-9b0b2bb83761,2021/12/14,ＩＶＹ,ＩＶＹ,
５１,ムーンライト,神奈川県,平塚市桃浜町１２－２６,平塚市桃浜町１２－２６,,,野邊　喜代子,,飲食店営業,第2021-001-0324号,R03.12.14,R03.12.14,,147,ムーンライト,0463,,,,,神奈川県　平塚市桃浜町１２－２６,神奈川県平塚市桃浜町１２－２６,,81442,14,14203,桃浜町,,2021/12/14,2021/12/14,,,,野邊　喜代子,,,,,,,,,第2021-001-0324号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ムンライト8144214203,b9bcce65-507b-4ac5-8163-e5bdd1821cf8,,personal,b8401f40-94a5-4a27-8808-1dc636558cf6,2021/12/14,ムーンライト,ムンライト,
５２,つまみ処　和。,神奈川県,平塚市紅谷町９－１０オフィスＭ２０１,平塚市紅谷町９－１０,オフィスＭ２０１,              ,津金　和幸,,飲食店営業,第2021-001-0331号,R03.12.15,R03.12.15,,147,つまみ処　和。,0463,,,,,神奈川県　平塚市紅谷町９－１０,神奈川県平塚市紅谷町９－１０,オフィスＭ２０１,81428,14,14203,紅谷町,,2021/12/15,2021/12/15,,,,津金　和幸,,,,,,,,,第2021-001-0331号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,つまみ処和8142814203,e2f39e6e-94e7-4ba6-8978-b684efcb5359,,personal,e6aa13e7-93f6-4897-a29a-269881c33c4d,2021/12/15,つまみ処　和。,つまみ処和,
５３,香港軒,神奈川県,中郡二宮町山西３１０－１和光ビル１Ｆ,中郡二宮町山西３１０－１,和光ビル１Ｆ,0463-70-3055  ,鴻盛株式会社,0463-70-3055  ,飲食店営業,第2021-001-0277号,R03.12.16,H27.12.22,,147,香港軒,0463,0463-70-3055,,,,神奈川県　中郡二宮町山西３１０－１,神奈川県中郡二宮町山西３１０－１,和光ビル１Ｆ,83014,14,14342,山西,,2015/12/22,2021/12/16,,,鴻盛株式会社,,0463-70-3055  ,,,,,,,,第2021-001-0277号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,香港軒0463-70-30558301414342,09e67410-171f-442a-beee-655a622b810f,鴻盛株式会社,b77fdf2d-e09f-4805-be78-02df9ee87bee,646d1e25-f4f3-48fc-a297-8887861ec936,2021/12/16,香港軒,香港軒,鴻盛株式会社
５４,トゥエンティー,神奈川県,中郡二宮町二宮２２２,中郡二宮町二宮２２２,,0463-72-1937  ,三留　孝一,,飲食店営業,第2021-001-0323号,R03.12.16,H07.01.24,,147,トゥエンティー,0463,0463-72-1937,,,,神奈川県　中郡二宮町二宮２２２,神奈川県中郡二宮町二宮２２２,,83013,14,14342,二宮,,1995/01/24,2021/12/16,,,,三留　孝一,,,,,,,,,第2021-001-0323号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,トゥエンティ0463-72-19378301314342,9fe8528d-0436-4733-9817-d3abe8eb7ca4,,personal,9cdf0f36-5426-4bbb-bb9d-1cc62d671259,2021/12/16,トゥエンティー,トゥエンティ,
５５,丹波黒どり農場,神奈川県,中郡二宮町二宮８７９番地Ｃｈｉｌｄｒｅｎ・Ⅰ　１階,中郡二宮町二宮８７９番地,Ｃｈｉｌｄｒｅｎ・Ⅰ１階,0463-71-8988  ,株式会社モンテローザフーズ,0422-36-8888  ,飲食店営業,第2021-001-0333号,R03.12.16,H27.01.20,,147,丹波黒どり農場,0463,0463-71-8988,,,,神奈川県　中郡二宮町二宮８７９番地,神奈川県中郡二宮町二宮８７９番地,Ｃｈｉｌｄｒｅｎ・Ⅰ１階,83013,14,14342,二宮,,2015/01/20,2021/12/16,,,株式会社モンテローザフーズ,,0422-36-8888  ,,,,,,,,第2021-001-0333号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,丹波黒どり農場0463-71-89888301314342,6060975f-5f0c-4a87-9345-e70dd54382fc,株式会社モンテローザフーズ,a936c947-1aa3-47aa-969a-80511f20401f,01e5be71-3f5b-4e58-8d0c-934f0c2549be,2021/12/16,丹波黒どり農場,丹波黒どり農場,株式会社モンテローザフーズ
５６,有限会社　庄三郎丸,神奈川県,平塚市千石河岸５７番１７号,平塚市千石河岸５７番１７号,,0463-21-1012  ,有限会社庄三郎丸,0463-21-1012  ,飲食店営業,第2021-001-0329号,R03.12.16,H10.01.22,,147,有限会社　庄三郎丸,0463,0463-21-1012,,,,神奈川県　平塚市千石河岸５７番１７号,神奈川県平塚市千石河岸５７番１７号,,81360,14,14203,千石河岸,,1998/01/22,2021/12/16,,,有限会社庄三郎丸,,0463-21-1012  ,,,,,,,,第2021-001-0329号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,有限会社庄三郎丸0463-21-10128136014203,4375376a-1af8-42f8-aeba-5234f706da8d,有限会社庄三郎丸,88b95bf6-563e-454f-a59b-54f783a92a3b,705363f5-7f1f-4c8d-8044-777589afc6bb,2021/12/16,有限会社庄三郎丸,有限会社庄三郎丸,有限会社庄三郎丸
５７,Ｌｕｃｋｙ　Ｄｉｎｉｎｇ　＆　Ｂａｒ（ラッキー）,神奈川県,平塚市宝町１２－１－１０２,平塚市宝町１２－１,１０２,              ,ＢＲＰＰ．Ｉｎｔｅｒｎａｔｉｏｎａｌ合同会社,042-318-0173  ,飲食店営業,第2021-001-0303号,R03.12.17,R03.12.17,,147,Ｌｕｃｋｙ　Ｄｉｎｉｎｇ　＆　Ｂａｒ（ラッキー）,0463,,,,,神奈川県　平塚市宝町１２－１,神奈川県平塚市宝町１２－１,１０２,81366,14,14203,宝町,,2021/12/17,2021/12/17,,,ＢＲＰＰ．Ｉｎｔｅｒｎａｔｉｏｎａｌ合同会社,,042-318-0173  ,,,,,,,,第2021-001-0303号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ＬｕｃｋｙＤｉｎｉｎｇＢａｒラッキ8136614203,91796791-d7e4-42d9-9e0f-6af2436950c2,ＢＲＰＰ．Ｉｎｔｅｒｎａｔｉｏｎａｌ合同会社,792ac749-ce21-4e98-be6c-9114a59c359b,25b3a51a-31fd-465d-bc4a-f3d1504e4f0c,2021/12/17,Ｌｕｃｋｙ　Ｄｉｎｉｎｇ　＆　Ｂａｒ（ラッキー）,ＬｕｃｋｙＤｉｎｉｎｇＢａｒラッキ,ＢＲＰＰ．Ｉｎｔｅｒｎａｔｉｏｎａｌ合同会社
５８,和処　勝香,神奈川県,平塚市花水台３２－２４,平塚市花水台３２－２４,,0463-31-2946  ,飯尾　了,,飲食店営業,第2021-001-0312号,R03.12.21,H19.12.25,,147,和処　勝香,0463,0463-31-2946,,,,神奈川県　平塚市花水台３２－２４,神奈川県平塚市花水台３２－２４,,81407,14,14203,花水台,,2007/12/25,2021/12/21,,,,飯尾　了,,,,,,,,,第2021-001-0312号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,和処勝香0463-31-29468140714203,5a1ae42e-1850-4eef-a4b1-d522582d2b1c,,personal,e1b55727-6709-49cf-b1cb-b2549f15b84e,2021/12/21,和処　勝香,和処勝香,
５９,セブン・イレブン　平塚桃浜町店,神奈川県,平塚市桃浜町２５番２３号,平塚市桃浜町２５番２３号,,0463-36-6160  ,株式会社Ｄｏ　ｇａｔｈｅｒ,0463-36-6160  ,飲食店営業,第2021-001-0335号,R03.12.21,R03.12.21,,147,セブン・イレブン　平塚桃浜町店,0463,0463-36-6160,,,,神奈川県　平塚市桃浜町２５番２３号,神奈川県平塚市桃浜町２５番２３号,,81442,14,14203,桃浜町,,2021/12/21,2021/12/21,,,株式会社Ｄｏ　ｇａｔｈｅｒ,,0463-36-6160  ,,,,,,,,第2021-001-0335号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,セブンイレブン平塚桃浜町店0463-36-61608144214203,1868a1ad-ce8b-4674-b77e-72d224802132,株式会社Ｄｏ　ｇａｔｈｅｒ,a23c34c7-15a7-4995-948b-40c06cec2a1a,7226275e-ffec-4323-8603-f4675a7f7a1e,2021/12/21,セブンイレブン　平塚桃浜町店,セブンイレブン平塚桃浜町店,株式会社Ｄｏ　ｇａｔｈｅｒ
６０,合同会社　西友　二宮店,神奈川県,中郡二宮町中里２－６－２８,中郡二宮町中里２－６－２８,,0463-72-1111  ,合同会社西友,03-3598-7000  ,魚介類販売業,第2021-014-0020号,R03.12.21,H13.02.26,,147,合同会社　西友　二宮店,0463,0463-72-1111,,,,神奈川県　中郡二宮町中里２－６－２８,神奈川県中郡二宮町中里２－６－２８,,83015,14,14342,中里２,,2001/02/26,2021/12/21,,,合同会社西友,,03-3598-7000  ,,,,,,,,第2021-014-0020号,,魚介類販売業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,I,58,,,合同会社西友二宮店0463-72-11118301514342,68a95722-5bc6-4f36-b8da-eb87e0794cab,合同会社西友,c53b614b-64ee-46e9-beac-3a013bb357f1,1d08df20-6f1c-4207-b74b-6bcb080becd9,2021/12/21,合同会社西友　二宮店,合同会社西友二宮店,合同会社西友
６１,マクドナルド平塚山下店,神奈川県,平塚市山下１１０４,平塚市山下１１０４,,0463-36-5118  ,株式会社オープンセサミ,0465-20-3288  ,飲食店営業,第2021-001-0322号,R03.12.22,R03.12.22,,147,マクドナルド平塚山下店,0463,0463-36-5118,,,,神奈川県　平塚市山下１１０４,神奈川県平塚市山下１１０４,,81445,14,14203,山下,,2021/12/22,2021/12/22,,,株式会社オープンセサミ,,0465-20-3288  ,,,,,,,,第2021-001-0322号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,マクドナルド平塚山下店0463-36-51188144514203,ae15418b-77cb-4286-b6c4-f2a6bdb32a8d,株式会社オープンセサミ,67180501-2572-4d6d-8eda-db8987e1762c,20ddc5f8-48b9-4c27-9239-afbdc6ed2a7d,2021/12/22,マクドナルド平塚山下店,マクドナルド平塚山下店,株式会社オープンセサミ
６２,ｉ４ｉ　Ｃｏｆｆｅｅ,神奈川県,平塚市紅谷町１２－２３石井ビル１－２Ｆ,平塚市紅谷町１２－２３,石井ビル１－２Ｆ,              ,石井　孝拓,,飲食店営業,第2021-001-0338号,R03.12.22,R03.12.22,,147,ｉ４ｉ　Ｃｏｆｆｅｅ,0463,,,,,神奈川県　平塚市紅谷町１２－２３,神奈川県平塚市紅谷町１２－２３,石井ビル１－２Ｆ,81428,14,14203,紅谷町,,2021/12/22,2021/12/22,,,,石井　孝拓,,,,,,,,,第2021-001-0338号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ｉ４ｉＣｏｆｆｅｅ8142814203,bf1a0774-7255-47c9-8def-9229b5144a0c,,personal,6a8b1862-04fb-4317-9823-e23fe649a7ac,2021/12/22,ｉ４ｉ　Ｃｏｆｆｅｅ,ｉ４ｉＣｏｆｆｅｅ,
６３,炉端としらす　牡蠣旬の魚　ゆるり。湘南,神奈川県,平塚市紅谷町９－１８中島ビル１・２Ｆ,平塚市紅谷町９－１８,中島ビル１・２Ｆ,0463-24-9202  ,有限会社山路フ－ド,046-276-9696  ,飲食店営業,第2021-001-0336号,R03.12.22,H13.01.10,,147,炉端としらす　牡蠣旬の魚　ゆるり。湘南,0463,0463-24-9202,,,,神奈川県　平塚市紅谷町９－１８,神奈川県平塚市紅谷町９－１８,中島ビル１・２Ｆ,81428,14,14203,紅谷町,,2001/01/10,2021/12/22,,,有限会社山路フ－ド,,046-276-9696  ,,,,,,,,第2021-001-0336号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,炉端としらす牡蠣旬の魚ゆるり湘南0463-24-92028142814203,0400ad6e-a98e-4486-9b89-bbdd7dd792ba,有限会社山路フ－ド,46d8091d-4abc-462e-8206-27bf1773b687,0be830e0-b737-4309-9897-684f920837e6,2021/12/22,炉端としらす　牡蠣旬の魚　ゆるり。湘南,炉端としらす牡蠣旬の魚ゆるり湘南,有限会社山路フ－ド
６４,有限会社　虎屋本店,神奈川県,平塚市札場町１５－４０,平塚市札場町１５－４０,,0463-21-1788  ,有限会社　虎屋本店,0463-21-1788  ,食肉販売業,第2021-012-0009号,R03.12.28,S31.01.01,,147,有限会社　虎屋本店,0463,0463-21-1788,,,,神奈川県　平塚市札場町１５－４０,神奈川県平塚市札場町１５－４０,,81427,14,14203,札場町,,1956/01/01,2021/12/28,,,有限会社　虎屋本店,,0463-21-1788  ,,,,,,,,第2021-012-0009号,,食肉販売業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,I,58,583,,有限会社虎屋本店0463-21-17888142714203,552f3edf-b6c1-4e64-adb3-74cb499022a8,有限会社虎屋本店,7cec1660-75d4-4ff8-9570-212c564ab054,9a5f02a8-36c3-405b-8c31-452c4443dea6,2021/12/28,有限会社虎屋本店,有限会社虎屋本店,有限会社虎屋本店
